timestamp,symbol,bid,ask
2026-05-11T12:45:00+00:00,EURUSD,1.1774500000,1.1774600000
2026-05-11T13:00:00+00:00,EURUSD,1.1783400000,1.1783400000
2026-05-11T13:15:00+00:00,EURUSD,1.1783400000,1.1783400000
2026-05-11T13:30:00+00:00,EURUSD,1.1786200000,1.1786300000
2026-05-11T13:45:00+00:00,EURUSD,1.1785400000,1.1785500000
2026-05-11T14:00:00+00:00,EURUSD,1.1785400000,1.1785500000
2026-05-11T14:15:00+00:00,EURUSD,1.1785600000,1.1785700000
2026-05-11T14:30:00+00:00,EURUSD,1.1786900000,1.1786900000
2026-05-11T14:45:00+00:00,EURUSD,1.1779500000,1.1779500000
2026-05-11T15:00:00+00:00,EURUSD,1.1781200000,1.1781300000
2026-05-11T15:15:00+00:00,EURUSD,1.1781400000,1.1781400000
2026-05-11T15:30:00+00:00,EURUSD,1.1779600000,1.1779600000
2026-05-11T15:45:00+00:00,EURUSD,1.1779900000,1.1779900000
2026-05-11T16:00:00+00:00,EURUSD,1.1779300000,1.1779300000
2026-05-11T16:15:00+00:00,EURUSD,1.1776000000,1.1776000000
2026-05-11T16:30:00+00:00,EURUSD,1.1775500000,1.1775500000
2026-05-11T16:45:00+00:00,EURUSD,1.1773200000,1.1773400000
2026-05-11T17:00:00+00:00,EURUSD,1.1774900000,1.1774900000
2026-05-11T17:15:00+00:00,EURUSD,1.1776000000,1.1776100000
2026-05-11T17:30:00+00:00,EURUSD,1.1776900000,1.1777000000
2026-05-11T17:45:00+00:00,EURUSD,1.1777900000,1.1778100000
2026-05-11T18:00:00+00:00,EURUSD,1.1779000000,1.1779000000
2026-05-11T18:15:00+00:00,EURUSD,1.1779300000,1.1779400000
2026-05-11T18:30:00+00:00,EURUSD,1.1775800000,1.1776100000
2026-05-11T18:45:00+00:00,EURUSD,1.1775000000,1.1775000000
2026-05-11T19:00:00+00:00,EURUSD,1.1775100000,1.1775100000
2026-05-11T19:15:00+00:00,EURUSD,1.1775600000,1.1775700000
2026-05-11T19:30:00+00:00,EURUSD,1.1776500000,1.1776500000
2026-05-11T19:45:00+00:00,EURUSD,1.1777400000,1.1777500000
2026-05-11T20:00:00+00:00,EURUSD,1.1778500000,1.1778600000
2026-05-11T20:15:00+00:00,EURUSD,1.1780600000,1.1780600000
2026-05-11T20:30:00+00:00,EURUSD,1.1781200000,1.1781500000
2026-05-11T20:45:00+00:00,EURUSD,1.1783100000,1.1783800000
2026-05-11T21:00:00+00:00,EURUSD,1.1781900000,1.1785000000
2026-05-11T21:15:00+00:00,EURUSD,1.1782700000,1.1784700000
2026-05-11T21:30:00+00:00,EURUSD,1.1781400000,1.1783700000
2026-05-11T21:45:00+00:00,EURUSD,1.1783900000,1.1785600000
2026-05-11T22:00:00+00:00,EURUSD,1.1787100000,1.1787100000
2026-05-11T22:15:00+00:00,EURUSD,1.1787000000,1.1787100000
2026-05-11T22:30:00+00:00,EURUSD,1.1786600000,1.1786600000
2026-05-11T22:45:00+00:00,EURUSD,1.1785200000,1.1785300000
2026-05-11T23:00:00+00:00,EURUSD,1.1784400000,1.1784500000
2026-05-11T23:15:00+00:00,EURUSD,1.1780700000,1.1781000000
2026-05-11T23:30:00+00:00,EURUSD,1.1778800000,1.1778900000
2026-05-11T23:45:00+00:00,EURUSD,1.1778600000,1.1778600000
2026-05-12T00:00:00+00:00,EURUSD,1.1775900000,1.1776000000
2026-05-12T00:15:00+00:00,EURUSD,1.1775000000,1.1775100000
2026-05-12T00:30:00+00:00,EURUSD,1.1771900000,1.1772000000
2026-05-12T00:45:00+00:00,EURUSD,1.1766900000,1.1767200000
2026-05-12T01:00:00+00:00,EURUSD,1.1764800000,1.1764900000
2026-05-12T01:15:00+00:00,EURUSD,1.1762000000,1.1762000000
2026-05-12T01:30:00+00:00,EURUSD,1.1761000000,1.1761300000
2026-05-12T01:45:00+00:00,EURUSD,1.1761500000,1.1761500000
2026-05-12T02:00:00+00:00,EURUSD,1.1761800000,1.1761800000
2026-05-12T02:15:00+00:00,EURUSD,1.1761100000,1.1761100000
2026-05-12T02:30:00+00:00,EURUSD,1.1760400000,1.1760500000
2026-05-12T02:45:00+00:00,EURUSD,1.1762500000,1.1762600000
2026-05-12T03:00:00+00:00,EURUSD,1.1758900000,1.1759000000
2026-05-12T03:15:00+00:00,EURUSD,1.1757000000,1.1757000000
2026-05-12T03:30:00+00:00,EURUSD,1.1757900000,1.1758000000
2026-05-12T03:45:00+00:00,EURUSD,1.1756300000,1.1756600000
2026-05-12T04:00:00+00:00,EURUSD,1.1755600000,1.1755600000
2026-05-12T04:15:00+00:00,EURUSD,1.1756000000,1.1756100000
2026-05-12T04:30:00+00:00,EURUSD,1.1759500000,1.1759500000
2026-05-12T04:45:00+00:00,EURUSD,1.1757100000,1.1757200000
2026-05-12T05:00:00+00:00,EURUSD,1.1753800000,1.1754000000
2026-05-12T05:15:00+00:00,EURUSD,1.1755000000,1.1755000000
2026-05-12T05:30:00+00:00,EURUSD,1.1755900000,1.1756000000
2026-05-12T05:45:00+00:00,EURUSD,1.1762400000,1.1762500000
2026-05-12T06:00:00+00:00,EURUSD,1.1757500000,1.1757600000
2026-05-12T06:15:00+00:00,EURUSD,1.1755000000,1.1755100000
2026-05-12T06:30:00+00:00,EURUSD,1.1755000000,1.1755000000
2026-05-12T06:45:00+00:00,EURUSD,1.1750300000,1.1750400000
2026-05-12T07:00:00+00:00,EURUSD,1.1747000000,1.1747100000
2026-05-12T07:15:00+00:00,EURUSD,1.1749700000,1.1749800000
2026-05-12T07:30:00+00:00,EURUSD,1.1746400000,1.1746500000
2026-05-12T07:45:00+00:00,EURUSD,1.1747800000,1.1747900000
2026-05-12T08:00:00+00:00,EURUSD,1.1743900000,1.1744000000
2026-05-12T08:15:00+00:00,EURUSD,1.1747000000,1.1747100000
2026-05-12T08:30:00+00:00,EURUSD,1.1742100000,1.1742200000
2026-05-12T08:45:00+00:00,EURUSD,1.1744800000,1.1744900000
2026-05-12T09:00:00+00:00,EURUSD,1.1746200000,1.1746300000
2026-05-12T09:15:00+00:00,EURUSD,1.1746000000,1.1746000000
2026-05-12T09:30:00+00:00,EURUSD,1.1745500000,1.1745500000
2026-05-12T09:45:00+00:00,EURUSD,1.1747600000,1.1747600000
2026-05-12T10:00:00+00:00,EURUSD,1.1748600000,1.1748600000
2026-05-12T10:15:00+00:00,EURUSD,1.1748100000,1.1748200000
2026-05-12T10:30:00+00:00,EURUSD,1.1745900000,1.1745900000
2026-05-12T10:45:00+00:00,EURUSD,1.1740700000,1.1740800000
2026-05-12T11:00:00+00:00,EURUSD,1.1741700000,1.1741700000
2026-05-12T11:15:00+00:00,EURUSD,1.1741600000,1.1741600000
2026-05-12T11:30:00+00:00,EURUSD,1.1746400000,1.1746400000
